パス名,モジュール名,種類,総ステップ数,実ステップ数,コメント[％]
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNSoftTimer.cpp","Void SNSoftTimer::Start",cpp,16,7,45.0
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNSoftTimer.cpp","Void SNSoftTimer::Restart",cpp,12,6,42.3
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNSoftTimer.cpp","Void SNSoftTimer::Stop",cpp,11,7,16.1
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNSoftTimer.cpp","Boolean SNSoftTimer::IsTimeout",cpp,19,12,42.0
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNSoftTimer.cpp","UInt32 SNSoftTimer::ElapsedFrame",cpp,6,4,18.8
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNSoftTimer.cpp","Boolean SNSoftTimer::IsRunning",cpp,5,4,26.2
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNSoftTimer.h","モジュール外",h,63,24,43.9
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStopWatch.cpp","モジュール外",cpp,5,4,0.0
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStopWatch.cpp","SNStopWatch::SNStopWatch",cpp,18,13,9.1
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStopWatch.cpp","SNStopWatch::~SNStopWatch",cpp,8,5,27.4
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStopWatch.cpp","Void SNStopWatch::Start",cpp,23,14,31.6
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStopWatch.cpp","Void SNStopWatch::Stop",cpp,31,18,19.4
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStopWatch.cpp","UInt32 SNStopWatch::GetAverage",cpp,9,5,26.0
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStopWatch.cpp","UInt32 SNStopWatch::GetMax",cpp,6,4,30.1
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStopWatch.cpp","UInt32 SNStopWatch::GetMin",cpp,6,4,30.1
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStopWatch.h","モジュール外",h,41,22,42.3
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStore.cpp","モジュール外",cpp,2,1,0.0
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStore.cpp","SNStore::SNStore",cpp,9,6,13.8
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStore.cpp","SNStore::~SNStore",cpp,8,5,20.0
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNStore.cpp","Void SNStore::CreateStore",cpp,22,17,0.0
